"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2021-03-31T22:00:00.000Z","256.67","260.48","230.22","234.31","-8.01","-8.97","260,859,300"
"2021-05-02T22:00:00.000Z","234.11","252.60","219.07","247.02","5.42","4.46","258,429,700"
"2021-05-31T22:00:00.000Z","253.00","258.40","235.66","239.56","-3.02","-3.98","263,280,000"
"2021-06-30T22:00:00.000Z","240.36","241.80","204.80","226.48","-5.46","-6.42","272,388,100"
"2021-08-01T22:00:00.000Z","227.19","241.15","210.94","219.50","-3.08","-4.04","187,951,900"
"2021-08-31T22:00:00.000Z","220.00","229.94","206.53","219.94","0.20","-0.76","194,135,500"
"2021-09-30T22:00:00.000Z","222.85","232.10","204.60","207.03","-5.87","-6.83","171,554,300"
"2021-10-31T23:00:00.000Z","207.00","233.94","193.85","197.85","-4.43","-5.39","222,628,900"
"2021-11-30T23:00:00.000Z","200.81","212.68","185.26","201.32","1.75","0.79","212,678,500"
"2022-01-02T23:00:00.000Z","204.00","229.67","183.77","200.24","-0.54","-1.50","219,087,100"
"2022-01-31T23:00:00.000Z","202.48","223.23","186.88","205.34","2.55","1.59","167,301,100"
"2022-02-28T23:00:00.000Z","203.11","203.50","167.58","191.50","-6.74","-7.70","243,634,200"
"2022-03-31T22:00:00.000Z","192.58","192.62","146.00","148.84","-22.28","-23.24","182,424,500"
"2022-05-01T22:00:00.000Z","148.02","157.99","117.08","131.40","-11.72","-12.68","229,236,700"
"2022-05-31T22:00:00.000Z","133.00","147.18","113.02","136.72","4.05","3.09","239,311,400"
"2022-06-30T22:00:00.000Z","135.88","163.34","131.29","159.31","16.52","15.56","183,896,900"
"2022-07-31T22:00:00.000Z","165.95","173.85","157.91","160.25","0.59","-0.37","144,159,200"
"2022-08-31T22:00:00.000Z","158.00","160.97","120.99","121.08","-24.44","-25.40","151,513,600"
"2022-10-02T22:00:00.000Z","122.00","150.14","121.02","142.51","17.70","16.74","167,018,800"
