Date,Close,Volume,Open,High,Low
07/25/2019,$348.09,9663678,$356.18,$357.69,$345.71
07/24/2019,$361.43,7447884,$370.28,$371.36,$360.03
07/23/2019,$373.07,3354863,$374.27,$376.428,$370.68
07/22/2019,$373.42,4267293,$376.94,$382.48,$371.89
07/19/2019,$377.36,9503960,$370.67,$378.40,$368.5002
07/18/2019,$361.11,4615218,$367.60,$368.4465,$359.75
07/17/2019,$369.52,4009990,$362.75,$369.75,$362.00
07/16/2019,$362.75,2960425,$361.26,$365.35,$361.20
07/15/2019,$361.61,4814634,$360.50,$362.85,$359.02
07/12/2019,$365.33,3592818,$360.00,$365.45,$358.14
07/11/2019,$359.00,5059223,$352.62,$359.26,$350.70
07/10/2019,$352.30,2946742,$354.49,$356.52,$351.25
07/09/2019,$353.09,4828204,$349.05,$353.85,$347.90
07/08/2019,$351.12,3262324,$350.41,$352.961,$349.4013
07/05/2019,$355.86,3208164,$354.00,$357.25,$351.43
07/03/2019,$354.47,2164921,$354.50,$354.85,$352.26
07/02/2019,$354.16,3777328,$355.63,$356.7838,$352.69
07/01/2019,$356.46,6409568,$364.88,$365.23,$353.32
06/28/2019,$364.01,4737120,$363.92,$366.225,$361.57
06/27/2019,$364.02,8980010,$367.54,$369.93,$362.35
06/26/2019,$374.94,4542016,$371.02,$378.98,$370.00
06/25/2019,$369.32,3005403,$374.75,$375.25,$368.03
06/24/2019,$373.99,2323241,$372.95,$375.49,$372.10
06/21/2019,$371.84,4923678,$374.39,$376.11,$371.72
06/20/2019,$374.88,3794488,$373.00,$375.79,$368.96
06/19/2019,$368.56,5715985,$375.40,$379.31,$368.35
06/18/2019,$373.96,9199161,$357.61,$374.65,$357.60
06/17/2019,$354.90,3746426,$348.62,$356.05,$347.05
06/14/2019,$347.16,2258374,$348.00,$349.17,$345.885
06/13/2019,$348.86,2621303,$347.25,$349.06,$344.10
06/12/2019,$347.03,2738326,$349.00,$349.27,$342.795
06/11/2019,$349.33,2702727,$355.42,$355.473,$348.13
06/10/2019,$353.80,2560805,$356.00,$357.40,$353.55
06/07/2019,$353.70,2470694,$352.30,$355.28,$352.30
06/06/2019,$350.64,2582259,$348.18,$351.64,$345.58
06/05/2019,$348.75,3188375,$346.22,$353.25,$332.49
06/04/2019,$344.62,3592323,$342.57,$346.41,$340.12
06/03/2019,$338.89,5148019,$338.20,$339.11,$330.67
05/31/2019,$341.61,3217646,$345.85,$345.85,$341.36
05/30/2019,$349.87,2183884,$350.00,$351.92,$347.9366
05/29/2019,$348.80,4160546,$352.59,$352.79,$346.05
05/28/2019,$354.88,3504281,$355.29,$359.31,$354.88
05/24/2019,$354.90,5387544,$355.00,$361.40,$353.00
05/23/2019,$350.55,5305388,$345.92,$351.47,$341.15
05/22/2019,$352.78,3841430,$357.22,$357.57,$351.75
05/21/2019,$358.75,4022572,$358.03,$360.77,$354.88
05/20/2019,$352.79,3219868,$353.00,$355.9406,$350.53
05/17/2019,$355.02,5282942,$351.50,$359.99,$351.1636
05/16/2019,$353.81,6036506,$348.64,$356.50,$345.82
05/15/2019,$345.64,4809967,$339.80,$348.7999,$337.64
05/14/2019,$343.04,4747753,$339.90,$346.10,$337.2289
05/13/2019,$337.37,7757832,$344.51,$346.63,$337.00
05/10/2019,$354.67,4574070,$351.87,$355.54,$347.55
05/09/2019,$354.13,6075156,$354.76,$355.65,$347.47
05/08/2019,$359.75,6029997,$357.77,$361.52,$353.33
05/07/2019,$357.23,9740301,$366.33,$367.71,$355.02
05/06/2019,$371.60,4747601,$367.88,$372.48,$365.63
05/03/2019,$376.46,2953838,$376.08,$377.90,$374.22
05/02/2019,$375.80,2438759,$375.50,$377.65,$373.25
05/01/2019,$376.80,2765572,$378.53,$381.1951,$376.38
04/30/2019,$377.69,3268866,$379.50,$381.14,$375.05
04/29/2019,$379.05,5450287,$378.49,$385.30,$376.76
04/26/2019,$380.79,4235936,$383.89,$384.00,$378.14
04/25/2019,$382.80,6607094,$376.01,$384.80,$372.76
04/24/2019,$375.46,9842009,$377.89,$381.15,$373.66
04/23/2019,$374.02,4866391,$375.54,$376.87,$372.61
04/22/2019,$375.17,4139888,$375.69,$378.95,$374.90
04/18/2019,$380.07,4644278,$377.52,$382.17,$377.52
04/17/2019,$377.52,4195495,$384.10,$384.19,$377.4837
04/16/2019,$381.72,7067068,$376.51,$384.64,$375.03
04/15/2019,$375.46,3805356,$376.70,$377.90,$373.68
04/12/2019,$379.64,7207696,$375.75,$379.95,$372.00
04/11/2019,$370.16,6526032,$364.62,$371.08,$364.21
04/10/2019,$364.94,8118173,$368.40,$368.79,$362.92
04/09/2019,$369.04,7968918,$370.29,$372.24,$367.75
04/08/2019,$374.52,14426690,$376.20,$379.80,$371.86
04/05/2019,$391.93,6779065,$398.07,$398.66,$390.95
